Date,Mean_mag6d,Mean_east6d,Mean_north6d,SD_Mag6d,SD_east6d,SD_north6d,Max_mag6d,Max_east6d,Max_north6d,LR,SR,Site,Rep,Month
2012/5/6,0.121224847,-0.005128429,0.049509997,0.084541501,0.081283002,0.07812944,0.363650858,0.173391971,0.243791995,0.0025,0.26388363,PG,PG1,May
2012/5/21,0.102452862,0.006541387,0.033620004,0.066980152,0.069865911,0.064333852,0.286511306,0.157462141,0.187979382,0.005825349,0.29818738,PG,PG1,May
2012/6/4,0.127349117,-0.016757068,0.057943131,0.088446272,0.078122236,0.081134352,0.385104363,0.156251132,0.264217321,0.004896679,0.289801281,PG,PG1,June
2012/6/20,0.102677544,-0.007178619,0.034501007,0.06704786,0.068535897,0.065621887,0.294902706,0.127602417,0.1985318,0.000833333,0.069009054,PG,PG1,June
2012/7/4,0.110095657,-0.003855916,0.041032671,0.071688202,0.067963594,0.06703098,0.322408641,0.150983367,0.217788144,0.005,0.217391304,PG,PG1,July
2012/7/19,0.107439079,-8.15E-05,0.037125256,0.06997787,0.071780228,0.068198241,0.305047996,0.166841428,0.202348907,0.003163011,0.2404268,PG,PG1,July
2012/8/2,0.108706999,-0.004696492,0.037363008,0.068676499,0.066655759,0.068222518,0.312710817,0.134668662,0.212106236,0.005815391,0.191542472,PG,PG1,Aug
2012/8/18,0.113556886,-0.007916383,0.045729278,0.068964106,0.061294387,0.06536114,0.309234748,0.134054316,0.209823396,0.002260192,0.050696502,PG,PG1,Aug
2012/8/31,0.104558123,-0.000284572,0.035116764,0.065597973,0.062585239,0.064768221,0.27746813,0.1342804,0.188087677,0.002433185,0.148990689,PG,PG1,Aug
2012/5/6,0.121224847,-0.005128429,0.049509997,0.084541501,0.081283002,0.07812944,0.363650858,0.173391971,0.243791995,0.003323365,0.322743358,PG,PG2,May
2012/5/21,0.102452862,0.006541387,0.033620004,0.066980152,0.069865911,0.064333852,0.286511306,0.157462141,0.187979382,0.001165638,0.078356101,PG,PG2,May
2012/6/4,0.127349117,-0.016757068,0.057943131,0.088446272,0.078122236,0.081134352,0.385104363,0.156251132,0.264217321,0.006398467,0.347771761,PG,PG2,June
2012/6/20,0.102677544,-0.007178619,0.034501007,0.06704786,0.068535897,0.065621887,0.294902706,0.127602417,0.1985318,0.005612704,0.332997738,PG,PG2,June
2012/7/4,0.110095657,-0.003855916,0.041032671,0.071688202,0.067963594,0.06703098,0.322408641,0.150983367,0.217788144,0.006666667,0.27027027,PG,PG2,July
2012/7/19,0.107439079,-8.15E-05,0.037125256,0.06997787,0.071780228,0.068198241,0.305047996,0.166841428,0.202348907,0.001650775,0.14177555,PG,PG2,July
2012/8/2,0.108706999,-0.004696492,0.037363008,0.068676499,0.066655759,0.068222518,0.312710817,0.134668662,0.212106236,0.001660671,0.063369597,PG,PG2,Aug
2012/8/18,0.113556886,-0.007916383,0.045729278,0.068964106,0.061294387,0.06536114,0.309234748,0.134054316,0.209823396,0.003333333,0.073009839,PG,PG2,Aug
2012/8/31,0.104558123,-0.000284572,0.035116764,0.065597973,0.062585239,0.064768221,0.27746813,0.1342804,0.188087677,0.003333333,0.193446787,PG,PG2,Aug
2012/5/6,0.121224847,-0.005128429,0.049509997,0.084541501,0.081283002,0.07812944,0.363650858,0.173391971,0.243791995,0,0,PG,PG3,May
2012/5/21,0.102452862,0.006541387,0.033620004,0.066980152,0.069865911,0.064333852,0.286511306,0.157462141,0.187979382,0.001666667,0.108385679,PG,PG3,May
2012/6/4,0.127349117,-0.016757068,0.057943131,0.088446272,0.078122236,0.081134352,0.385104363,0.156251132,0.264217321,0.005724017,0.322952595,PG,PG3,June
2012/6/20,0.102677544,-0.007178619,0.034501007,0.06704786,0.068535897,0.065621887,0.294902706,0.127602417,0.1985318,0.0025,0.18191904,PG,PG3,June
2012/7/4,0.110095657,-0.003855916,0.041032671,0.071688202,0.067963594,0.06703098,0.322408641,0.150983367,0.217788144,0.004166667,0.187969925,PG,PG3,July
2012/7/19,0.107439079,-8.15E-05,0.037125256,0.06997787,0.071780228,0.068198241,0.305047996,0.166841428,0.202348907,0.000833333,0.076974195,PG,PG3,July
2012/8/2,0.108706999,-0.004696492,0.037363008,0.068676499,0.066655759,0.068222518,0.312710817,0.134668662,0.212106236,0.003333333,0.119565231,PG,PG3,Aug
2012/8/18,0.113556886,-0.007916383,0.045729278,0.068964106,0.061294387,0.06536114,0.309234748,0.134054316,0.209823396,0.003333333,0.073009839,PG,PG3,Aug
2012/8/31,0.104558123,-0.000284572,0.035116764,0.065597973,0.062585239,0.064768221,0.27746813,0.1342804,0.188087677,0.002466592,0.150727998,PG,PG3,Aug
2013/2/10,0.066030007,0.034805004,0.008377193,0.047562606,0.056995738,0.030629367,0.210149044,0.18481258,0.079371639,0,0,LD,LD1,Feb
2013/2/26,0.086420855,0.031785029,0.009988724,0.06741957,0.085986377,0.044521827,0.350258337,0.308104005,0.12179182,0.005,0.071550575,LD,LD1,Feb
2013/3/12,0.05005195,0.012553886,-0.001792596,0.032795339,0.044216993,0.02461308,0.138281474,0.108068487,0.05418616,0.025,0.315564788,LD,LD1,Mar
2013/3/27,0.049869097,0.024286175,0.009304275,0.028563071,0.033976168,0.022672067,0.124190309,0.099955322,0.058503299,0.044916297,0.566142924,LD,LD1,Mar
2013/4/10,0.069878647,0.031278518,0.007611618,0.040322975,0.056900035,0.032630494,0.16558294,0.141682283,0.075080393,0.06,0.465397123,LD,LD1,Apr
2013/4/26,0.049543024,-0.009690727,0.00822529,0.030149416,0.042155666,0.026372278,0.136533412,0.087262865,0.070594488,0.015,0.272727273,LD,LD1,Apr
2013/5/10,0.084360653,-0.014300453,0.005879796,0.063104238,0.085880196,0.042394135,0.283051092,0.189133514,0.113785587,0.055,0.47826087,LD,LD1,May
2013/5/25,0.118817671,0.047255636,0.022584908,0.070188037,0.089597749,0.045600696,0.291952271,0.236684739,0.118030637,0.01,0.133397416,LD,LD1,May
2013/6/9,0.150864893,0.108702814,0.030343308,0.086227649,0.097299285,0.045248934,0.40539647,0.364030423,0.142561982,0.03,0.545454545,LD,LD1,June
2013/6/23,0.097944416,0.063834469,0.012490992,0.077870495,0.086049817,0.044764877,0.307429921,0.271342622,0.122486841,0.065,0.621137044,LD,LD1,June
2013/7/8,0.076551067,0.011104476,0.020877803,0.049040421,0.063735019,0.039327902,0.214144234,0.148804572,0.116777155,0.008978065,0.130624934,LD,LD1,July
2013/2/10,0.066030007,0.034805004,0.008377193,0.047562606,0.056995738,0.030629367,0.210149044,0.18481258,0.079371639,0,0,LD,LD2,Feb
2013/2/26,0.086420855,0.031785029,0.009988724,0.06741957,0.085986377,0.044521827,0.350258337,0.308104005,0.12179182,0.015,0.187780166,LD,LD2,Feb
2013/3/12,0.05005195,0.012553886,-0.001792596,0.032795339,0.044216993,0.02461308,0.138281474,0.108068487,0.05418616,0.035,0.392275384,LD,LD2,Mar
2013/3/27,0.049869097,0.024286175,0.009304275,0.028563071,0.033976168,0.022672067,0.124190309,0.099955322,0.058503299,0.025,0.420726085,LD,LD2,Mar
2013/4/10,0.069878647,0.031278518,0.007611618,0.040322975,0.056900035,0.032630494,0.16558294,0.141682283,0.075080393,0.06277927,0.476678745,LD,LD2,Apr
2013/4/26,0.049543024,-0.009690727,0.00822529,0.030149416,0.042155666,0.026372278,0.136533412,0.087262865,0.070594488,0.015,0.272727273,LD,LD2,Apr
2013/5/10,0.084360653,-0.014300453,0.005879796,0.063104238,0.085880196,0.042394135,0.283051092,0.189133514,0.113785587,0.06,0.5,LD,LD2,May
2013/5/25,0.118817671,0.047255636,0.022584908,0.070188037,0.089597749,0.045600696,0.291952271,0.236684739,0.118030637,0.015,0.187584481,LD,LD2,May
2013/6/9,0.150864893,0.108702814,0.030343308,0.086227649,0.097299285,0.045248934,0.40539647,0.364030423,0.142561982,0.03,0.545454545,LD,LD2,June
2013/6/23,0.097944416,0.063834469,0.012490992,0.077870495,0.086049817,0.044764877,0.307429921,0.271342622,0.122486841,0.075,0.654183145,LD,LD2,June
2013/7/8,0.076551067,0.011104476,0.020877803,0.049040421,0.063735019,0.039327902,0.214144234,0.148804572,0.116777155,0.015,0.200659313,LD,LD2,July
2013/2/10,0.066030007,0.034805004,0.008377193,0.047562606,0.056995738,0.030629367,0.210149044,0.18481258,0.079371639,0,0,LD,LD3,Feb
2013/2/26,0.086420855,0.031785029,0.009988724,0.06741957,0.085986377,0.044521827,0.350258337,0.308104005,0.12179182,0.02,0.235624989,LD,LD3,Feb
2013/3/12,0.05005195,0.012553886,-0.001792596,0.032795339,0.044216993,0.02461308,0.138281474,0.108068487,0.05418616,0.034475987,0.38868509,LD,LD3,Mar
2013/3/27,0.049869097,0.024286175,0.009304275,0.028563071,0.033976168,0.022672067,0.124190309,0.099955322,0.058503299,0.034881099,0.503318904,LD,LD3,Mar
2013/4/10,0.069878647,0.031278518,0.007611618,0.040322975,0.056900035,0.032630494,0.16558294,0.141682283,0.075080393,0.063665504,0.480176695,LD,LD3,Apr
2013/4/26,0.049543024,-0.009690727,0.00822529,0.030149416,0.042155666,0.026372278,0.136533412,0.087262865,0.070594488,0.005,0.111111111,LD,LD3,Apr
2013/5/10,0.084360653,-0.014300453,0.005879796,0.063104238,0.085880196,0.042394135,0.283051092,0.189133514,0.113785587,0.045,0.428571429,LD,LD3,May
2013/5/25,0.118817671,0.047255636,0.022584908,0.070188037,0.089597749,0.045600696,0.291952271,0.236684739,0.118030637,0,0,LD,LD3,May
2013/6/9,0.150864893,0.108702814,0.030343308,0.086227649,0.097299285,0.045248934,0.40539647,0.364030423,0.142561982,0.035,0.583333333,LD,LD3,June
2013/6/23,0.097944416,0.063834469,0.012490992,0.077870495,0.086049817,0.044764877,0.307429921,0.271342622,0.122486841,0.05,0.557744432,LD,LD3,June
2013/7/8,0.076551067,0.011104476,0.020877803,0.049040421,0.063735019,0.039327902,0.214144234,0.148804572,0.116777155,0.012902319,0.177581182,LD,LD3,July
